"","passive","c1","c2","c3","part_id","sent_id"
"108",0,-0.25,0.666666666666667,0,992,3
"109",0,-0.25,0.666666666666667,0,736,31
"110",0,-0.25,0.666666666666667,0,480,31
"111",1,-0.25,0.666666666666667,0,704,31
"112",0,-0.25,0.666666666666667,0,576,31
"113",0,-0.25,0.666666666666667,0,0,31
"114",0,-0.25,0.666666666666667,0,1248,31
"115",0,-0.25,0.666666666666667,0,896,31
"116",0,-0.25,0.666666666666667,0,928,31
"117",0,-0.25,0.666666666666667,0,320,31
"118",0,-0.25,0.666666666666667,0,672,31
"119",0,-0.25,0.666666666666667,0,448,31
"120",1,-0.25,0.666666666666667,0,1152,31
"121",0,-0.25,0.666666666666667,0,1024,31
"122",0,-0.25,0.666666666666667,0,1088,31
"123",0,-0.25,0.666666666666667,0,64,31
"124",0,-0.25,0.666666666666667,0,992,31
"125",1,-0.25,0.666666666666667,0,288,31
"126",0,-0.25,0.666666666666667,0,256,31
"127",0,0.75,0,0,704,35
"128",0,0.75,0,0,736,35
"129",0,0.75,0,0,576,35
"130",0,0.75,0,0,480,35
"131",0,0.75,0,0,1248,35
"132",0,0.75,0,0,0,35
"133",0,0.75,0,0,1152,35
"134",0,0.75,0,0,1088,35
"135",0,0.75,0,0,288,35
"136",0,0.75,0,0,448,35
"137",0,0.75,0,0,256,35
"138",0,0.75,0,0,992,35
"139",0,0.75,0,0,928,35
"140",0,0.75,0,0,1024,35
"141",0,0.75,0,0,320,35
"142",0,0.75,0,0,896,35
"143",0,0.75,0,0,672,35
"144",0,0.75,0,0,64,35
"145",0,-0.25,-0.333333333333333,0.5,1024,39
"146",0,-0.25,-0.333333333333333,0.5,928,39
"147",0,-0.25,-0.333333333333333,0.5,704,39
"148",0,-0.25,-0.333333333333333,0.5,736,39
"149",0,-0.25,-0.333333333333333,0.5,1088,39
"150",0,-0.25,-0.333333333333333,0.5,1152,39
"151",0,-0.25,-0.333333333333333,0.5,896,39
"152",0,-0.25,-0.333333333333333,0.5,0,39
"153",0,-0.25,-0.333333333333333,0.5,1248,39
"154",0,-0.25,-0.333333333333333,0.5,576,39
"155",0,-0.25,-0.333333333333333,0.5,480,39
"156",0,-0.25,-0.333333333333333,0.5,320,39
"157",0,-0.25,-0.333333333333333,0.5,672,39
"158",0,-0.25,-0.333333333333333,0.5,288,39
"159",0,-0.25,-0.333333333333333,0.5,256,39
"160",0,-0.25,-0.333333333333333,0.5,992,39
"161",0,-0.25,-0.333333333333333,0.5,448,39
"162",0,-0.25,-0.333333333333333,0.5,64,39
"163",0,-0.25,0.666666666666667,0,704,43
"164",0,-0.25,0.666666666666667,0,928,43
"165",0,-0.25,0.666666666666667,0,576,43
"166",0,-0.25,0.666666666666667,0,736,43
"167",0,-0.25,0.666666666666667,0,480,43
"168",0,-0.25,0.666666666666667,0,1088,43
"169",0,-0.25,0.666666666666667,0,1152,43
"170",0,-0.25,0.666666666666667,0,1024,43
"171",0,-0.25,0.666666666666667,0,288,43
"172",0,-0.25,0.666666666666667,0,0,43
"173",0,-0.25,0.666666666666667,0,896,43
"174",0,-0.25,0.666666666666667,0,1248,43
"175",0,-0.25,0.666666666666667,0,320,43
"176",0,-0.25,0.666666666666667,0,672,43
"177",1,-0.25,0.666666666666667,0,992,43
"178",0,-0.25,0.666666666666667,0,256,43
"179",0,-0.25,0.666666666666667,0,64,43
"180",0,-0.25,0.666666666666667,0,448,43
"181",0,0.75,0,0,1024,47
"182",0,0.75,0,0,576,47
"183",0,0.75,0,0,0,47
"184",0,0.75,0,0,704,47
"185",0,0.75,0,0,928,47
"186",0,0.75,0,0,1088,47
"187",0,0.75,0,0,1152,47
"188",0,0.75,0,0,896,47
"189",0,0.75,0,0,1248,47
"190",0,0.75,0,0,736,47
"191",0,0.75,0,0,288,47
"192",0,0.75,0,0,256,47
"193",0,0.75,0,0,992,47
"194",0,0.75,0,0,672,47
"195",0,0.75,0,0,64,47
"196",0,0.75,0,0,448,47
"197",0,0.75,0,0,480,47
"198",0,0.75,0,0,320,47
"199",0,-0.25,-0.333333333333333,0.5,576,51
"200",0,-0.25,-0.333333333333333,0.5,256,51
"201",1,-0.25,-0.333333333333333,0.5,1088,51
"202",0,-0.25,-0.333333333333333,0.5,1024,51
"203",0,-0.25,-0.333333333333333,0.5,736,51
"204",0,-0.25,-0.333333333333333,0.5,1152,51
"205",0,-0.25,-0.333333333333333,0.5,896,51
"206",0,-0.25,-0.333333333333333,0.5,1248,51
"207",0,-0.25,-0.333333333333333,0.5,0,51
"208",0,-0.25,-0.333333333333333,0.5,64,51
"209",0,-0.25,-0.333333333333333,0.5,928,51
"210",0,-0.25,-0.333333333333333,0.5,288,51
"211",0,-0.25,-0.333333333333333,0.5,480,51
"212",0,-0.25,-0.333333333333333,0.5,672,51
"213",0,-0.25,-0.333333333333333,0.5,704,51
"214",0,-0.25,-0.333333333333333,0.5,320,51
"215",0,-0.25,-0.333333333333333,0.5,992,51
"216",0,-0.25,-0.333333333333333,0.5,448,51
"217",0,-0.25,0.666666666666667,0,896,55
"218",0,-0.25,0.666666666666667,0,1024,55
"219",0,-0.25,0.666666666666667,0,576,55
"220",0,-0.25,0.666666666666667,0,288,55
"221",0,-0.25,0.666666666666667,0,1152,55
"222",0,-0.25,0.666666666666667,0,928,55
"223",0,-0.25,0.666666666666667,0,672,55
"224",0,-0.25,0.666666666666667,0,1088,55
"225",0,-0.25,0.666666666666667,0,448,55
"226",0,-0.25,0.666666666666667,0,992,55
"227",0,-0.25,0.666666666666667,0,704,55
"228",0,-0.25,0.666666666666667,0,0,55
"229",0,-0.25,0.666666666666667,0,64,55
"230",0,-0.25,0.666666666666667,0,256,55
"231",0,-0.25,0.666666666666667,0,736,55
"232",0,-0.25,0.666666666666667,0,320,55
