"","X","model","prime_type","prop_passive","se_passive","n","train","reanalysis","sd","giveup"
"45",45,"wd2","amv",0.0133898683329614,0.00171701258190093,4482,"train0.0","start","sdnormal-0.35-1.0","giveup1000"
"46",46,"wd2","urc",0.0633251286641307,0.00363827183230774,4482,"train0.0","start","sdnormal-0.35-1.0","giveup1000"
"47",47,"wd2","prog_rrc",0.139888268156425,0.00518180047338862,4482,"train0.0","start","sdnormal-0.35-1.0","giveup1000"
"48",48,"wd2","rrc",0.196787148594378,0.00593917632214353,4482,"train0.0","start","sdnormal-0.35-1.0","giveup1000"
"49",49,"ep","amv",0.00146455770357352,0.000654586194877347,3414,"train0.1","start","sduniform-0.2-0.5","giveup100"
"50",50,"ep","urc",0.0393607576205978,0.00332846811762765,3414,"train0.1","start","sduniform-0.2-0.5","giveup100"
"51",51,"ep","prog_rrc",0.0580778301886792,0.00400354734979656,3414,"train0.1","start","sduniform-0.2-0.5","giveup100"
"52",52,"ep","rrc",0.16583504549457,0.00636643213177529,3414,"train0.1","start","sduniform-0.2-0.5","giveup100"
"53",53,"wd","amv",0.000980392156862745,0.000565844607933483,3060,"train0.1","start","sduniform-0.2-0.5","giveup100"
"54",54,"wd","urc",0.0360568971220642,0.00337078463686885,3060,"train0.1","start","sduniform-0.2-0.5","giveup100"
"55",55,"wd","prog_rrc",0.120695309937684,0.00589013718058379,3060,"train0.1","start","sduniform-0.2-0.5","giveup100"
"56",56,"wd","rrc",0.177567037279268,0.0069094222843951,3060,"train0.1","start","sduniform-0.2-0.5","giveup100"
"57",57,"wd2","amv",0.00105932203389831,0.000611383786573473,2832,"train0.1","start","sduniform-0.2-0.5","giveup100"
"58",58,"wd2","urc",0.0350626118067979,0.00345702706439871,2832,"train0.1","start","sduniform-0.2-0.5","giveup100"
"59",59,"wd2","prog_rrc",0.126241134751773,0.00624204124699968,2832,"train0.1","start","sduniform-0.2-0.5","giveup100"
"60",60,"wd2","rrc",0.191166077738516,0.00739035350943992,2832,"train0.1","start","sduniform-0.2-0.5","giveup100"
"61",61,"ep","amv",0.00115340253748558,0.000576451704532587,3468,"train0.1","start","sduniform-0.2-0.5","giveup1000"
"62",62,"ep","urc",0.0625720876585928,0.00411322381874013,3468,"train0.1","start","sduniform-0.2-0.5","giveup1000"
"63",63,"ep","prog_rrc",0.0467128027681661,0.00358387556544074,3468,"train0.1","start","sduniform-0.2-0.5","giveup1000"
"64",64,"ep","rrc",0.15282583621684,0.00611093720348138,3468,"train0.1","start","sduniform-0.2-0.5","giveup1000"
"65",65,"wd","amv",0.00215650030807147,0.000814326612541302,3246,"train0.1","start","sduniform-0.2-0.5","giveup1000"
"66",66,"wd","urc",0.0354282193468885,0.00324514859528566,3246,"train0.1","start","sduniform-0.2-0.5","giveup1000"
"67",67,"wd","prog_rrc",0.114910659272951,0.00559843142401248,3246,"train0.1","start","sduniform-0.2-0.5","giveup1000"
"68",68,"wd","rrc",0.150030807147258,0.00626880072856223,3246,"train0.1","start","sduniform-0.2-0.5","giveup1000"
"69",69,"wd2","amv",0.00281425891181989,0.00093691186053244,3198,"train0.1","start","sduniform-0.2-0.5","giveup1000"
"70",70,"wd2","urc",0.0350218886804253,0.00325130112756548,3198,"train0.1","start","sduniform-0.2-0.5","giveup1000"
"71",71,"wd2","prog_rrc",0.112883051907442,0.0055967188569899,3198,"train0.1","start","sduniform-0.2-0.5","giveup1000"
"72",72,"wd2","rrc",0.15978736710444,0.00648029095920418,3198,"train0.1","start","sduniform-0.2-0.5","giveup1000"
"73",73,"ep","amv",0.0519529768676526,0.00305626686127012,5274,"train0.1","start","sdnormal-0.35-1.0","giveup100"
"74",74,"ep","urc",0.130368390914297,0.00463687299406448,5274,"train0.1","start","sdnormal-0.35-1.0","giveup100"
"75",75,"ep","prog_rrc",0.119360365505425,0.00446478409889878,5274,"train0.1","start","sdnormal-0.35-1.0","giveup100"
"76",76,"ep","rrc",0.198027314112291,0.00548799196721763,5274,"train0.1","start","sdnormal-0.35-1.0","giveup100"
"77",77,"wd","amv",0.0132547864506627,0.0017919738869998,4074,"train0.1","start","sdnormal-0.35-1.0","giveup100"
"78",78,"wd","urc",0.0606585788561525,0.00374025411344806,4074,"train0.1","start","sdnormal-0.35-1.0","giveup100"
"79",79,"wd","prog_rrc",0.114854894244958,0.00499602829299912,4074,"train0.1","start","sdnormal-0.35-1.0","giveup100"
"80",80,"wd","rrc",0.140260378285434,0.00544118895931892,4074,"train0.1","start","sdnormal-0.35-1.0","giveup100"
"81",81,"wd2","amv",0.00652315720808871,0.00145409425098341,3066,"train0.1","start","sdnormal-0.35-1.0","giveup100"
"82",82,"wd2","urc",0.0428618529508737,0.00365854427521172,3066,"train0.1","start","sdnormal-0.35-1.0","giveup100"
"83",83,"wd2","prog_rrc",0.102656608724172,0.00548223876893792,3066,"train0.1","start","sdnormal-0.35-1.0","giveup100"
"84",84,"wd2","rrc",0.140104506858263,0.00626951206408723,3066,"train0.1","start","sdnormal-0.35-1.0","giveup100"
"85",85,"ep","amv",0.0494333724110981,0.00303035628838333,5118,"train0.1","start","sdnormal-0.35-1.0","giveup1000"
"86",86,"ep","urc",0.11591086786552,0.004475096583137,5118,"train0.1","start","sdnormal-0.35-1.0","giveup1000"
"87",87,"ep","prog_rrc",0.111762407190309,0.00440458240979526,5118,"train0.1","start","sdnormal-0.35-1.0","giveup1000"
"88",88,"ep","rrc",0.17116060961313,0.00526537606765803,5118,"train0.1","start","sdnormal-0.35-1.0","giveup1000"
"89",89,"wd","amv",0.0161290322580645,0.00201587086860604,3906,"train0.1","start","sdnormal-0.35-1.0","giveup1000"
"90",90,"wd","urc",0.051242633871381,0.00352844072647568,3906,"train0.1","start","sdnormal-0.35-1.0","giveup1000"
"91",91,"wd","prog_rrc",0.109318996415771,0.00499342341976114,3906,"train0.1","start","sdnormal-0.35-1.0","giveup1000"
"92",92,"wd","rrc",0.130824372759857,0.00539619433051791,3906,"train0.1","start","sdnormal-0.35-1.0","giveup1000"
"93",93,"wd2","amv",0.00951443569553806,0.00175864979470184,3048,"train0.1","start","sdnormal-0.35-1.0","giveup1000"
"94",94,"wd2","urc",0.044991789819376,0.00375520828826964,3048,"train0.1","start","sdnormal-0.35-1.0","giveup1000"
"95",95,"wd2","prog_rrc",0.0895669291338583,0.00517322809472469,3048,"train0.1","start","sdnormal-0.35-1.0","giveup1000"
"96",96,"wd2","rrc",0.126640419947507,0.00602485345881585,3048,"train0.1","start","sdnormal-0.35-1.0","giveup1000"
"97",97,"ep","amv",0.0617505995203837,0.00589538180970645,1668,"train1.0","start","sdnormal-0.35-1.0","giveup100"
"98",98,"ep","urc",0.111510791366906,0.00770933162515132,1668,"train1.0","start","sdnormal-0.35-1.0","giveup100"
"99",99,"ep","prog_rrc",0.0929256594724221,0.00711084917117748,1668,"train1.0","start","sdnormal-0.35-1.0","giveup100"
"100",100,"ep","rrc",0.108513189448441,0.00761782383955488,1668,"train1.0","start","sdnormal-0.35-1.0","giveup100"
